ano,regiao,uf,ies,grande_area,area,nivel,autor,sexo
2005,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CRISTIANO MAURO ASSIS GOMES,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,JOSE MARCELLO SALLES GIFFONI,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MAGNA MARIA INACIO,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ANA CLAUDIA DE ASSIS,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,RICHARD ROMEIRO OLIVEIRA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,RICARDO LUIZ DE SOUZA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,CARLO GABRIEL KSZAN PANCERA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,EDUARDO SOARES NEVES SILVA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ILVA RUAS DE ABREU,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,BRUNO ALMEIDA GUIMARAES,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,JEAN LUIZ NEVES ABREU,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MARCO HELENO BARRETO,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,HUMBERTO JOSE FONSECA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MATEUS ARAUJO SILVA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,TITO FLAVIO RODRIGES DE AGUIAR,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MATEUS HENRIQUE DE FARIA PEREIRA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,SUELI SIQUEIRA,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ANDRE GUILHERME DORNELLES DANGELO,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GERALDA FORTINA DOS SANTOS,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIZA BARTOLOZZI FERREIRA,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARILITA APARECIDA ARANTES RODRIGUES,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA TERESA GONZAGA ALVES,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,WELLINGTON DE OLIVEIRA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,PAULO HENRIQUE DE QUEIROZ NOGUEIRA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ROSIME DA CONCEICAO MEGUINS,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,PAULO LUCAS DA SILVA,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ROGATA SOARES DEL GAUDIO,Desconhecido
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,JUNIA SALES PEREIRA,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARTA PASSOS PINHEIRO,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA CLARISSE VIEIRA,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MEILY ASSBU LINHALES,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,DANIEL RIBEIRO DA SILVA MILL,Homem
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANGELA MARIA CIBIAC FERNANDES,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARIA PAULA DIAS COUTO PAES,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,SUZANA CRISTINA DE SOUZA FERREIRA,Mulher
2006,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,KATIA MAIA FLORES BARROS,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,DILIA MARIA ANDRADE GLORIA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,JOSE LUIZ DE OLIVEIRA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JOSE LUIZ FAZZI,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ALEXANDRE TORRES FONSECA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ROSELANE MARTINS CARDOSO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ERIKA LOURENCO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,ANA SELVA CASTELO BRANCO ALBINATI,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MARIA DA LUZ ALVES FERREIRA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,VANESSA SENA TOMAZ,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DA PENHA LOPES,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,DENER LUIZ DA SILVA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,RITA DE CASSIA LUCENA VELLOSO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SUZANA MARIA BARRIOS LUIS,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADRIANA MARIA TONINI,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SARA MOURAO MONTEIRO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LILIANE DOS SANTOS JORGE,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MIRIAM FABIA ALVES,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,MARIA LUIZA GROSSI ARAUJO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LUCIANO CAMPOS DA SILVA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARCELINA DAS GRACAS DE ALMEIDA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,NORA OLINDA CABRERA ZUNIGA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARIA DE FATIMA SILVA PORTO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LUIS EDUARDO RAMOS DE SOUZA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANALISE DE JESUS DA SILVA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,VANDERLEI DE OLIVEIRA FERREIRA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ANDREA MARIA SILVEIRA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JULIANA CESARIO HAMDAN,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CARLOS EDUARDO PORTO VILLANI,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GUILHERME PAOLIELO,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DO CARMO XAVIER,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,LUIZ HENRIQUE ASSIS GARCIA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,CRISTINA ISABEL ABREU CAMPOLINA DE SA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,JANETE FLOR DE MAIO FONSECA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SANTUZA AMORIM DA SILVA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,EROS MOREIRA DE CARVALHO,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,LEANDRO CARDOSO,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ALMIR DE OLIVEIRA JUNIOR,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DO CARMO PAOLIELLO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,RITA HELENA SOUSA FERREIRA GOMES,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,EUGENIA ROSA CABRAL,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JORDELINA LAJE MARTINS WYKROTA,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,MARIA DULCE REIS,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,PAULO DE TARSO FRAZAO SOARES LINHARES,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ISABEL CRISTINA RABELO GOMES,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MARCIO FEREIRA DE SOUZA,Homem
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANDREA MOURA DE SOUZA AGUIAR,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TELMA CRISTINA GUERREIRO PINTO BARROSO,Mulher
2007,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANA MARTA APARECIDA DE SOUZA INEZ,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ENEIDA PEREIRA DOS SANTOS,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SONIA VIEIRA COELHO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIANA APARECIDA VILLA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ROBERTO EUSTAQUIO DOS SANTOS,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,ROGERIO ANTONIO LOPES,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,RITA APARECIDA DA CONCEICAO RIBEIRO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,VANESSA BORGES BRASILEIRO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,REGINA COELI MOREIRA CAMARGOS,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,WINDSON JEFFERSON MENDES DE OLIVEIRA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA CELESTE REIS FERNANDES DE SOUZA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JOSE EUSTAQUIO DE BRITO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,REGINA RODRIGUES LISBOA MENDES,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LORAINE DE FATIMA OLIVEIRA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RENATO JUDICE DE ANDRADE,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LUIS FRANCISCO FIANCO DIAS,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIENE LOPES FARIA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,FABIO ADOUR DA CAMARA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELANIA DE OLIVEIRA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TEREZINHA FUMI KAWASAKI,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MONICA YUMI JINZENJI,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,FULVIO CUPOLILLO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,PABLO LUIZ DE OLIVEIRA LIMA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MURILO CASSIO XAVIER FAHEL,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RENATO DINIZ SILVEIRA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,ALVARO MENDONCA PIMENTEL,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,CRISPIM MOREIRA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,CRISTIANO PEREIRA ALENCAR ARRAIS,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,DIOGO HENRIQUE HELAL,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,VICENTE DE PAULA LEAO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,DIRCE RIBEIRO DE MELO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,LILIAN ERICHSEN NASSIF,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,SERGIO RICARDO VIEIRA RAMOS,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,CLAUDIA FREITAS MAGALHAES,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,LETICIA JULIAO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ELAINE MEIRE VILELA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,GEISA MEGELA VELOSO,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,GILSA HELENA BARCELOS,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,LEONARDO TURCHI PACHECO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ALFREDO LEMER JOHNSON RODRIGUES,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,JOAO CESAR DE FREITAS FONSECA,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,FREDERICO DE PAULA TOFANI,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MARCELO HORNOS STEFFENS,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,MARCELO OTTONI DURANTE,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADJANE DA COSTA TOURINHO E SILVA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,TONY VINICIUS MOREIRA SAMPAIO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,VANDA LUCIA PRAXEDES,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,JAKSON ALVES DE AQUINO,Homem
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SHIRLEY APARECIDA DE MIRANDA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,GERALDA LUIZA DE MIRANDA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,EDNA MARIA DE RESENDE,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANTONIA SIMONE COELHO GOMES,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,FATIMA BEATRIZ CARNEIRO TEIXEIRA FORTES,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RITA DE CASSIA VIEIRA,Mulher
2008,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,AIRTON CARRIAO MACHADO,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARCIANA ALMENDRO DAVID,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ALINE ANDREIA NICOLLI,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANA PAULA BOSSLER DA COSTA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,LILIAN CRISTINA BERNARDO GOMES,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ADALSON DE OLIVEIRA NASCIMENTO,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,TANIA AFONSO CHAVES,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CLAUDIA AVELLAR FREITAS,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RODRIGO ALVES DOS SANTOS,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARIA DO SOCORRO NERI MEDEIROS DE SOUZA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,POLIANA FLAVIA MAIA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ALESSANDRO DAMASIO TRANI GOMES,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,ADRIANO MIGLIO PORTO,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,CLAUDIA OLIVEIRA SANTOS,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,SONIA MARIA DIAS,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,PENHA DAS DORES SOUZA SILVA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,LILIAN SIMONE GODOY FONSECA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,GEOGRAFIA,Doutorado,VALERIA AMORIM DO CARMO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,ALESSANDRO GOMES ENOQUE,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,MARINA DE LIMA TAVARES,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,MAURO MACEDO CAMPOS,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,AMANDA AMANTES NEIVA RIBEIRO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ELIANE FERREIRA DE SA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,CELIA MARA LADEIA COLEN,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,GERALDO MARCIO TIMOTEO,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,DANIEL BARBOSA DOS SANTOS,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,DEISE DE SOUZA DIAS,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,Doutorado,SABINO JOSE FLEURY,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,WELLLINGTON BRILHANTE DE ALBUQUERQUE FILHO,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,MIRIAN MOURA LOTT,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,RENATA DUMONT FLECHA,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,VERA LUCIA MAIA MARQUES,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ANTONIO CIPRIANO PARAFINO GONCALVES,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,SOCIOLOGIA,Doutorado,LUCIANA CRIVELLARI DULCI,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,ISNARA PEREIRA IVO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,SILVANA MARTINS MELO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,EVALDO SAMPAIO DA SILVA,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,CHRISTIANNI CARDOSO MORAIS,Desconhecido
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,ARACI RODRIGUES COELHO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,FILOSOFIA / TEOLOGIA:subcomissão FILOSOFIA,Doutorado,PAULO CESAR LAGE DE OLIVEIRA,Homem
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,HISTÓRIA,Doutorado,GISELLA DE AMORIM SERRANO,Mulher
2009,SUDESTE,MG,UFMG,CIÊNCIAS HUMANAS,EDUCAÇÃO,Doutorado,EDUARDO SARQUIS SOARES,Homem
