dominio,documento,nome,uf,cidade,cep,data_cadastro,ultima_atualizacao,ticket
xn--justia-0ua.gov.br,000.394.494/0013-70,MINISTERIO DA JUSTICA,DF,Brasília,70064-900,2013-11-14T13:06:11Z,2013-11-14T13:06:11Z,12171078
dou.gov.br,000.394.494/0016-12,Imprensa Nacional/Presidência da República,DF,Brasília,70610-460,1997-01-07T11:00:00Z,2007-11-30T17:40:56Z,27356
in.gov.br,000.394.494/0016-12,Imprensa Nacional/Presidência da República,DF,Brasília,70610-460,1996-11-20T11:00:00Z,2016-10-21T13:59:24Z,22790
conseg.gov.br,000.394.494/0018-84,Ministério da Justiça,DF,Brasília,70064-900,2008-09-01T15:12:35Z,2009-01-09T17:50:15Z,4814165
dpf-ce.gov.br,000.394.494/0023-41,SUPER. REGIONAL DA POLICIA FEDERAL NO CEARÁ,CE,Fortaleza,60415-430,1997-02-23T12:00:00Z,2004-03-24T14:19:36Z,31061
dpf.gov.br,000.394.494/0080-30,DEPARTAMENTO DE POLICIA FEDERAL,DF,BRASILIA,70610-901,1996-07-16T12:00:00Z,2019-01-11T21:50:39Z,11801
pf.gov.br,000.394.494/0080-30,DEPARTAMENTO DE POLICIA FEDERAL,DF,BRASILIA,70610-901,2009-01-22T10:18:04Z,2019-01-11T20:12:01Z,5189629
policiafederal.gov.br,000.394.494/0080-30,DEPARTAMENTO DE POLICIA FEDERAL,DF,BRASILIA,70610-901,2009-01-22T10:18:04Z,2019-01-11T20:19:51Z,5189653
dnrc.gov.br,000.394.494/0103-60,DEPARTAMENTO NACIONAL DE REGISTRO DO COMERCIO,DF,Brasília,70053-900,1997-09-18T12:00:00Z,2013-05-10T19:23:14Z,58455
dprf.gov.br,000.394.494/0104-41,Departamento de Polícia Rodoviária Federal,DF,Brasília,70610-200,1998-10-05T12:29:15Z,2019-06-12T13:12:33Z,117380
prf.gov.br,000.394.494/0104-41,Departamento de Polícia Rodoviária Federal,DF,Brasília,70610-200,2003-05-30T19:43:46Z,2019-06-12T13:11:01Z,1227299
marinha.gov.br,000.394.502/0394-31,DIR COMUNICACOES E TECNOLOGIA DA INFORMACAO DA MB,RJ,Rio de Janeiro,20010-000,2009-08-17T18:25:35Z,2019-06-18T17:42:02Z,5899323
mb.gov.br,000.394.502/0394-31,DIR COMUNICACOES E TECNOLOGIA DA INFORMACAO DA MB,RJ,Rio de Janeiro,20010-000,2009-08-07T13:48:46Z,2016-01-26T12:13:59Z,5858626
mps.gov.br,000.394.528/0005-16,Ministerio da Previdencia Social,DF,Brasília,70059-900,2003-02-12T18:31:27Z,2018-12-07T08:56:03Z,1097821
mpas.gov.br,000.394.528/0008-69,Ministerio da Previdencia e Assistencia Social,DF,Brasília,70059-900,1996-03-20T12:00:00Z,2018-12-07T08:56:33Z,6042
brasilcultura.gov.br,000.394.536/0004-81,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2001-10-03T14:45:26Z,2011-09-06T22:47:32Z,652566
portalconsular.gov.br,000.394.536/0004-81,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2012-02-08T12:47:57Z,2017-04-26T13:23:57Z,9391847
rio20.gov.br,000.394.536/0004-81,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2011-05-13T10:23:55Z,2012-10-02T11:48:51Z,8216116
antarcticabrazil.gov.br,000.394.536/0006-43,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2013-05-13T17:43:02Z,2013-05-13T17:43:02Z,11436908
itamaraty.gov.br,000.394.536/0006-43,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,1999-02-12T11:00:00Z,2017-04-26T02:07:02Z,141521
mercosul.gov.br,000.394.536/0006-43,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2001-01-05T20:56:59Z,2017-04-26T02:16:20Z,494320
mre.gov.br,000.394.536/0006-43,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,1996-01-01T12:00:00Z,2017-04-25T18:40:16Z,0
relacoesexteriores.gov.br,000.394.536/0006-43,MINISTERIO DAS RELACOES EXTERIORES,DF,Brasília,70170-900,2013-05-02T18:48:19Z,2017-04-26T14:00:49Z,11413282
brasilexport.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2013-09-12T12:24:44Z,2014-07-10T14:21:14Z,11946792
brasilglobalnet.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2010-12-29T12:59:40Z,2017-07-07T18:55:12Z,7725667
brasiltradenet.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2000-02-01T11:26:44Z,2014-07-10T14:20:47Z,251694
brazilexport.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2013-08-14T18:48:06Z,2014-07-10T14:20:10Z,11823944
brazilglobalnet.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2011-05-05T16:07:36Z,2014-07-10T14:19:59Z,8249899
braziltradenet.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2000-01-28T13:18:18Z,2014-07-10T14:19:45Z,250008
btig.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2013-05-06T15:12:15Z,2014-07-10T14:19:34Z,11385270
btn.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2004-02-27T19:17:13Z,2014-07-10T14:19:22Z,1525676
businessbrasil.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2013-06-24T14:44:28Z,2014-07-10T14:17:53Z,11592370
businessbrazil.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2013-06-24T14:44:28Z,2014-07-10T14:17:33Z,11592380
comercioeinvestimento.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2012-05-11T12:36:20Z,2014-07-10T14:17:18Z,9837264
comex.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2007-08-22T18:21:17Z,2014-07-10T14:16:53Z,3840705
dpr.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2014-12-11T09:19:35Z,2017-07-07T18:54:53Z,13644210
investexportbrasil.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2015-08-31T19:23:23Z,2017-07-07T18:50:25Z,14538608
investexportbrazil.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2015-09-11T14:34:24Z,2017-07-07T18:45:55Z,14641557
invexbrasil.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2015-06-18T17:46:43Z,2015-06-18T17:46:43Z,14289360
promocaocomercial.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2012-06-27T14:17:20Z,2014-07-10T14:16:24Z,9976315
tradeandinvestment.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2012-08-10T12:59:50Z,2014-07-10T14:16:04Z,10309351
tradepromotion.gov.br,000.394.536/0009-96,Min. Relações Exteriores Depto Promoção Comercial,DF,Brasília,70170-900,2012-05-24T17:29:54Z,2014-07-10T14:15:37Z,9837295
cdb.gov.br,000.394.536/0012-91,Ministério das Relações Exteriores - DCD,DF,Brasília,71170-900,2005-11-23T19:20:16Z,2017-04-26T14:07:16Z,2485694
jornadasdip.gov.br,000.394.536/0012-91,Ministério das Relações Exteriores - DCD,DF,Brasília,71170-900,2005-11-01T17:58:09Z,2017-04-26T14:49:02Z,2449362
pcdl.gov.br,000.394.536/0016-15,Primeira Comissao Brasileira Demarcadora de Limite,PA,Belem,66035-100,2002-09-03T11:55:50Z,2002-09-03T12:00:00Z,951810
scdl.gov.br,000.394.536/0017-04,Seg. Com. Bras. Demarc. de Limites,RJ,Rio de Janeiro,20080-002,2000-06-15T19:35:42Z,2017-06-13T19:55:01Z,353149
abc.gov.br,000.394.536/0065-01,Ministério das Relações Exteriores,DF,Brasili,70170-900,2001-09-24T19:40:12Z,2017-07-07T18:54:35Z,642972
nex.gov.br,000.394.536/0065-01,Ministério das Relações Exteriores,DF,Brasili,70170-900,2002-01-10T17:11:12Z,2002-01-10T15:11:12Z,714718
gcth-sida.gov.br,000.394.544/0001-85,Ministério da Saúde,DF,Brasília,70070-600,1999-03-31T17:52:03Z,2002-11-13T14:04:39Z,149799
conitec.gov.br,000.394.544/0008-51,MINISTERIO DA SAUDE,DF,Brasília,70058-900,2014-10-06T14:47:09Z,2016-06-06T13:42:59Z,13316849
ec.gov.br,000.394.544/0008-51,MINISTERIO DA SAUDE,DF,Brasília,70058-900,2010-07-13T18:21:21Z,2012-11-26T17:36:50Z,7050960
ensaiosclinicos.gov.br,000.394.544/0008-51,MINISTERIO DA SAUDE,DF,Brasília,70058-900,2010-07-13T18:21:21Z,2012-11-23T15:57:37Z,7050969
saude.gov.br,000.394.544/0008-51,MINISTERIO DA SAUDE,DF,Brasília,70058-900,1996-08-04T12:00:00Z,2016-06-06T13:30:28Z,13340
cenp.gov.br,000.394.544/0022-00,Centro Nacional de Primatas,PA,Ananindeua,67020-454,2015-11-25T14:25:42Z,2016-11-01T18:33:07Z,14947108
iec.gov.br,000.394.544/0025-52,FNS - Instituto Evandro Chagas,PA,Ananindeua,67030-000,2013-10-14T14:42:41Z,2013-12-04T18:33:39Z,12108828
cienciasus.gov.br,000.394.544/0027-14,MINISTERIO DA SAUDE,DF,Brasília,70058-900,2019-01-23T23:30:35Z,2019-01-23T23:30:35Z,19228710
ipp.gov.br,000.394.544/0056-59,Instituto Philippe Pinel,RJ,Rio de Janeiro,22290-001,1998-12-08T12:29:55Z,1998-12-28T12:00:00Z,129608
hrps.gov.br,000.394.544/0065-40,Hospital Raphael de Paula Souza,RJ,Rio de Janeiro,22780-190,1998-08-25T14:05:37Z,2001-08-14T19:16:43Z,110087
cancer.gov.br,000.394.544/0171-50,Instituto Nacional de Câncer,RJ,Rio de Janeiro,20230-130,2005-03-22T12:12:19Z,2018-12-05T16:39:20Z,2040942
inca.gov.br,000.394.544/0171-50,Instituto Nacional de Câncer,RJ,Rio de Janeiro,20230-130,2002-02-21T17:19:49Z,2019-03-07T19:57:28Z,739564
hgb.gov.br,000.394.544/0202-91,Hospital Geral de Bonsucesso,RJ,Rio de Janeiro,21041-030,1999-05-25T14:09:05Z,2001-03-06T12:03:45Z,157067
hpiedade.gov.br,000.394.544/0209-68,Hospital da Piedade,RJ,Rio de Janeiro,20740-310,1998-10-02T13:50:08Z,2001-08-14T19:17:07Z,117547
hcl.gov.br,000.394.544/0213-44,Instituto Nacional de Cardiologia de Laranjeiras,RJ,Rio de Janeiro,22240-002,1998-07-02T19:06:02Z,2006-07-31T14:49:00Z,104334
datasus.gov.br,000.394.544/0271-13,Ministério da Saúde,RJ,Rio de Janeiro,20031-142,1995-10-31T12:00:00Z,2016-06-06T13:35:52Z,4437
sus.gov.br,000.394.544/0271-13,Ministério da Saúde,RJ,Rio de Janeiro,20031-142,2011-08-22T13:52:29Z,2016-06-06T13:40:44Z,8672213
itaipu.gov.br,000.395.988/0014-50,ITAIPU BINACIONAL,PR,Foz do Iguaçu,85866-900,1996-10-15T11:00:00Z,2019-05-30T10:44:59Z,18930
agricultura.gov.br,000.396.895/0001-25,MINISTERIO DA AGRICULTURA E DO ABASTECIMENTO,DF,Brasília,70043-900,1997-04-15T12:00:00Z,2017-10-25T20:30:49Z,36630
inmet.gov.br,000.396.895/0010-16,INSTITUTO NACIONAL DE METEOROLOGIA,DF,Brasília,70680-900,1996-06-11T12:00:00Z,2019-03-21T14:52:04Z,0
matopiba.gov.br,000.396.895/0011-05,Ministerio da Agricultura Pecuaria e Abastecimento,DF,Brasília,70043-900,2015-08-21T19:31:25Z,2017-10-31T12:15:00Z,14547161
dfa-pe.gov.br,000.396.895/0021-79,Ministério da Agricultura - DFA - Lapa - Recife,PE,Recife,52171-030,1998-03-26T19:38:11Z,2003-02-18T14:24:47Z,90348
lapa-pe.gov.br,000.396.895/0021-79,Ministério da Agricultura - DFA - Lapa - Recife,PE,Recife,52171-030,2001-03-27T17:19:12Z,2001-03-27T14:19:12Z,532987
dfa-ba.gov.br,000.396.895/0024-11,Ministério da Agricultura e do Abastecimento,BA,Salvador,40060-030,1998-09-25T21:05:21Z,1998-09-25T18:05:21Z,118491
dfasp.gov.br,000.396.895/0028-45,Delegacia Federal de Agricultura em São Paulo,SP,São Paulo,01327-002,2002-02-19T11:23:08Z,2002-02-19T12:00:00Z,730786
defesaagropecuaria.gov.br,000.396.895/0042-01,Secretaria de Defesa Agropecuaria,DF,Brasilia,70000-000,1998-07-06T14:21:56Z,2000-05-03T18:21:19Z,104435
laracps.gov.br,000.396.895/0047-08,LABORATORIO REGIONAL DE APOIO ANIMAL,SP,Campinas,13094-430,1999-04-13T19:24:14Z,1999-04-13T16:24:14Z,152221
pronaf.gov.br,000.396.895/0069-13,Ministério do Desenvolvimento Agrário,DF,Brasília,70043-900,1998-03-19T17:52:16Z,2015-06-08T22:28:37Z,89536
codevasf.gov.br,000.399.857/0001-26,COMPANHIA DE DESENVOLVIMENTO DO VALE DO SAO FRANCI,DF,Brasília,70830-901,1996-01-01T12:00:00Z,2019-01-11T13:49:08Z,0
cnen.gov.br,000.402.552/0001-26,Comissão Nacional de Energia Nuclear,RJ,Rio de Janeiro,22290-901,1996-02-16T12:00:00Z,2015-03-04T12:56:49Z,5454
ien.gov.br,000.402.552/0003-98,Instituto de Engenharia Nuclear,RJ,Rio de Janeiro,21941-906,2000-11-22T17:22:12Z,2010-01-19T16:52:57Z,454275
ird.gov.br,000.402.552/0004-79,INSTITUTO DE RADIOPROTECAO E DOSIMETRIA,RJ,Rio de Janeiro,22783-127,1995-12-15T12:00:00Z,2019-01-21T15:24:52Z,4852
cnenpc.gov.br,000.402.552/0007-11,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,MG,Poços de Caldas,37719-005,2001-03-26T12:28:32Z,2015-02-11T12:33:49Z,532132
crcn.gov.br,000.402.552/0014-40,Centro Regional de Ciencias Nucleares,PE,Recife,50740-540,1999-10-28T17:18:23Z,2009-02-19T11:48:46Z,204322
brasildigital.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2015-03-02T19:51:54Z,2018-05-17T14:51:02Z,13890186
cadicon.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2016-09-05T14:43:34Z,2018-05-17T14:51:27Z,16012699
contaspublicas.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,1999-05-06T12:55:40Z,2018-05-17T14:51:53Z,153234
eufiscalizo.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2014-08-11T13:11:46Z,2018-05-17T14:52:32Z,13148199
publicgovernance.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2014-08-12T18:30:34Z,2018-05-17T15:03:27Z,13183982
redecontrole.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2010-03-09T14:07:38Z,2018-05-17T15:01:53Z,6561807
rededecontrole.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2010-03-26T10:24:10Z,2018-05-17T15:00:56Z,6628310
seminariobrasildigital.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2015-03-02T19:51:54Z,2018-05-17T15:00:28Z,13890177
tcu.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,1996-04-10T12:00:00Z,2019-06-17T22:06:22Z,6596
ticontrole.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2008-10-08T13:41:43Z,2018-05-17T14:59:37Z,4916917
titcb.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2018-06-07T17:33:46Z,2018-06-07T17:33:46Z,18437226
tribunaiscplp.gov.br,000.414.607/0001-18,Tribunal de Contas da União,DF,Brasília,70042-900,2000-09-05T11:58:56Z,2018-05-17T14:58:39Z,415628
cade.gov.br,000.418.993/0001-16,Conselho Administrativo de Defesa Econômica,DF,Brasília,70770-504,2001-04-18T20:48:59Z,2017-08-25T13:18:07Z,546914
rpp.gov.br,000.422.744/0001-02,Fundação de Amparo a Pesquisa do Estado do Piauí,PI,Teresina,64018-200,1998-05-08T18:23:38Z,2001-02-09T20:58:17Z,95057
imbel.gov.br,000.444.232/0001-39,INDÚSTRIA DE MATERIAL BÉLICO DO BRASIL - IMBEL,SP,Piquete,12620-000,2000-02-23T13:41:15Z,2019-05-23T16:14:38Z,263716
coffito.gov.br,000.487.140/0001-36,CONS. FED. DE FISIOTERAPIA E TERAPIA OCUPACIONAL,DF,Brasília,70340-906,2016-07-05T14:54:56Z,2016-07-05T15:45:28Z,15764100
bdjur.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-10-13T14:50:40Z,2016-02-11T13:25:40Z,1845312
consorciobdjur.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-10-08T15:57:04Z,2016-02-11T13:25:56Z,1833739
e-jud.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-05-11T12:04:16Z,2018-09-03T17:38:07Z,1607240
e-jus.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-05-11T12:04:16Z,2016-02-11T13:26:11Z,1608962
e-stj.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-04-28T18:40:10Z,2015-11-03T18:03:40Z,1617198
portaldajustica.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-06-07T17:10:18Z,2016-02-11T13:26:23Z,1644624
stj.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,1995-08-29T12:00:00Z,2016-02-11T13:26:32Z,0
unijus.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2006-09-26T17:47:46Z,2016-02-11T13:26:48Z,3075238
varadafazenda.gov.br,000.488.478/0001-02,SUPERIOR TRIBUNAL DE JUSTICA,DF,Brasília,70095-900,2004-07-22T18:15:37Z,2016-02-11T13:27:03Z,1734201
brasilcidadao.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2017-02-16T18:03:32Z,2019-04-10T11:26:50Z,16634905
dados.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2011-07-29T13:40:32Z,2016-12-07T12:25:50Z,8552337
dadosabertos.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2011-07-29T13:40:32Z,2014-01-22T17:23:37Z,8552341
dni.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2018-02-05T18:20:20Z,2018-02-05T18:20:20Z,17995537
governodigital.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2017-09-26T18:25:15Z,2017-09-26T18:25:15Z,17498166
governoeletronico.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2000-12-11T11:56:03Z,2019-04-10T11:25:41Z,480986
nuvem.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2016-07-12T19:49:11Z,2016-07-12T19:49:11Z,15764685
paineldeviagens.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2019-01-15T16:14:16Z,2019-01-15T16:14:16Z,19197208
servicos.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2010-05-18T17:59:45Z,2019-03-08T19:29:59Z,6803183
sisp.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2010-12-10T23:52:45Z,2019-04-10T11:26:50Z,7635221
vlibras.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2015-12-04T20:14:41Z,2017-06-07T13:05:46Z,14978448
www.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2017-08-29T22:01:12Z,2019-04-10T11:25:41Z,17394568
xn--servios-yxa.gov.br,000.489.828/0001-55,"Ministerio do Planejamento, Orcamento e Gestao",DF,Brasília,70770-524,2012-02-23T09:53:25Z,2017-07-03T17:21:29Z,9507560
app.gov.br,000.489.828/0003-17,Ministerio do Planejamento Orçamento e Gestão,DF,Brasília,70770-524,2019-06-04T14:46:59Z,2019-06-04T14:46:59Z,19723168
brasilemcidades.gov.br,000.489.828/0006-60,Ministério das Cidades,DF,Brasília,70070-010,2011-10-11T12:59:26Z,2017-04-11T13:53:14Z,8912744
capacidades.gov.br,000.489.828/0006-60,Ministério das Cidades,DF,Brasília,70070-010,2011-10-19T18:22:27Z,2017-04-11T13:53:40Z,8980271
pbqp-h.gov.br,000.489.828/0006-60,Ministério das Cidades,DF,Brasília,70070-010,1998-06-04T16:41:37Z,2017-04-11T13:54:15Z,100651
pncda.gov.br,000.489.828/0006-60,Ministério das Cidades,DF,Brasília,70070-010,1999-10-27T19:53:43Z,2017-04-11T13:54:59Z,213199
rotasdascidades.gov.br,000.489.828/0006-60,Ministério das Cidades,DF,Brasília,70070-010,2011-10-19T18:17:26Z,2017-04-11T13:52:24Z,8980264
orcamento.gov.br,000.489.828/0008-21,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP",DF,Brasília,70770-524,2012-06-27T18:04:07Z,2012-06-27T18:04:07Z,10078555
siop.gov.br,000.489.828/0008-21,"MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP",DF,Brasília,70770-524,2012-06-27T18:04:07Z,2012-06-27T18:04:07Z,10078525
patrimoniodetodos.gov.br,000.489.828/0009-02,Secretaria do Patromônio da União,DF,Brasília,70046-900,2009-09-30T11:01:50Z,2010-02-02T11:43:10Z,5992626
stm.gov.br,000.497.560/0001-01,SUPERIOR TRIBUNAL MILITAR,DF,Brasília,70098-900,1997-01-06T11:00:00Z,2017-08-17T20:20:29Z,27285
ac-jus.gov.br,000.508.903/0001-88,CONSELHO DA JUSTICA FEDERAL,DF,Brasília,70200-003,2005-01-05T10:25:29Z,2019-07-01T17:30:45Z,1943824
acjus.gov.br,000.508.903/0001-88,CONSELHO DA JUSTICA FEDERAL,DF,Brasília,70200-003,2005-01-05T10:10:27Z,2019-07-01T17:29:24Z,1943823
cjf.gov.br,000.508.903/0001-88,CONSELHO DA JUSTICA FEDERAL,DF,Brasília,70200-003,1997-01-29T11:00:00Z,2019-07-01T17:26:40Z,29162
jf.gov.br,000.508.903/0001-88,CONSELHO DA JUSTICA FEDERAL,DF,Brasília,70200-003,2005-01-07T10:29:51Z,2019-07-01T17:23:33Z,1960548
justicafederal.gov.br,000.508.903/0001-88,CONSELHO DA JUSTICA FEDERAL,DF,Brasília,70200-003,2005-01-11T12:43:56Z,2019-07-01T17:22:04Z,1965153
jfsp.gov.br,000.508.903/0009-35,Justiça Federal de São Paulo,SP,São Paulo,01310-200,2001-03-16T20:44:33Z,2017-10-24T14:42:17Z,526406
jfpe.gov.br,000.508.903/0014-00,Justica Federal de 1a Instancia,PE,Recife,50781-000,1999-12-07T20:12:37Z,2014-08-29T15:56:56Z,227076
jfce.gov.br,000.508.903/0016-64,Justiça Federal no Ceará,CE,Fortaleza,60140-140,2000-03-13T21:12:29Z,2019-05-18T00:05:42Z,283761
jfse.gov.br,000.508.903/0018-26,Justica Federal - Secao Judiciaria do Estado de SE,SE,Aracaju,49081-015,1999-01-12T20:17:22Z,2019-06-04T15:50:16Z,134712
jfal.gov.br,000.508.903/0019-07,Justica Federal de Primeira Instância,AL,Maceió,57046-000,2000-03-17T20:31:23Z,2018-06-18T17:20:52Z,286462
jfrn.gov.br,000.508.903/0020-40,Justiça Federal do Rio Grande do Norte,RN,Natal,59064-250,1998-01-16T12:22:14Z,2010-09-05T05:20:41Z,80611
jfpb.gov.br,000.508.903/0021-21,Justica Federal de Primeira Instancia,PB,João Pessoa,58031-220,1999-09-14T14:14:51Z,2011-11-25T01:42:16Z,194147
jfms.gov.br,000.508.903/0024-74,Justiça Federal de 1ª Instância,MS,Campo Grande,79037-102,2002-07-16T13:30:52Z,2017-10-24T14:42:52Z,899650
eleicoes.gov.br,000.509.018/0001-13,Tribunal Superior Eleitoral,DF,Brasília,70096-900,2001-08-02T18:49:44Z,2013-10-02T17:06:46Z,615171
justicaeleitoral.gov.br,000.509.018/0001-13,Tribunal Superior Eleitoral,DF,Brasília,70096-900,2001-08-01T17:09:46Z,2015-02-03T17:46:27Z,614308
tse.gov.br,000.509.018/0001-13,Tribunal Superior Eleitoral,DF,Brasília,70096-900,1996-06-17T12:00:00Z,2015-01-08T20:19:43Z,9718
tre-al.gov.br,000.509.018/0002-02,Tribunal Regional Eleitoral de Alagoas,AL,Maceio,57020-720,1998-11-11T16:07:14Z,2015-01-08T20:21:32Z,123231
tre-am.gov.br,000.509.018/0003-85,Tribunal Regional Eleitoral do Amazonas,AM,Manaus,69060-000,1998-08-03T20:07:10Z,2015-01-08T20:21:58Z,106208
tre-ba.gov.br,000.509.018/0004-66,Tribunal Regional Eleitoral da Bahia,BA,Salvador,40237-900,1998-07-24T20:05:07Z,2015-01-08T21:05:03Z,106344
tre-ce.gov.br,000.509.018/0005-47,Tribunal Regional Eleitoral do Ceará,CE,Fortaleza,60050-080,1998-07-30T19:43:39Z,2015-02-03T18:46:36Z,106325
tre-df.gov.br,000.509.018/0006-28,Tribunal Regional Eleitoral do Distrito Federal,DF,BRASÍLIA,70094-901,1998-07-31T18:20:32Z,2015-01-08T21:07:24Z,106173
tre-es.gov.br,000.509.018/0007-09,Tribunal Regional Eleitoral do Esprito do Santo,ES,Vitória,29052-123,1998-07-23T20:25:15Z,2015-01-08T21:08:38Z,106347
tre-go.gov.br,000.509.018/0008-90,Tribunal Regional Eleitoral do Goias,GO,Goiania,74003-010,1998-08-14T16:54:00Z,2015-01-08T21:09:51Z,108492
tre-ma.gov.br,000.509.018/0009-70,Tribunal Regional Eleitoral do Maranhão,MA,São Luís,65010-917,1998-08-31T13:27:02Z,2015-01-08T21:11:31Z,111330
tre-mg.gov.br,000.509.018/0011-95,TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS,MG,BELO HORIZONTE,30380-000,1998-06-15T17:24:54Z,2015-01-08T21:11:54Z,100479
tre-pa.gov.br,000.509.018/0012-76,Tribunal Regional Eleitoral do Pará,PA,Belém,66015-160,1998-08-03T14:01:15Z,2015-01-08T21:13:38Z,106204
